"data","valoare","forecast"
"2020-01-01","1","0"
"2020-01-02","3","0"
"2020-01-03","4","0"
"2020-01-04","6","0"
"2020-01-06","9","0"
"2020-01-07","11","0"
"2020-01-11","14","0"
"2020-01-12","16","0"
"2020-01-13","17","0"
"2020-01-15","20","0"
"2020-01-17","22","0"
"2020-01-19","26","0"
"2020-01-20","28","0"
"2020-01-21","31","0"
"2020-01-23","33","0"
"2020-01-24","37","0"
"2020-01-25","39","0"
"2020-01-26","40","0"
"2020-01-27","41","0"
"2020-01-28","42","0"
"2020-01-29","45","0"
"2020-01-31","50","0"
"2020-02-01","51","0"
"2020-02-02","53","0"
"2020-02-03","56","0"
"2020-02-04","57","0"
"2020-02-05","62","0"
"2020-02-06","64","0"
"2020-02-07","66","0"
"2020-02-08","68","0"
"2020-02-09","69","0"
"2020-02-11","72","0"
"2020-02-13","74","0"
"2020-02-14","75","0"
"2020-02-17","76","0"
"2020-02-19","78","0"
"2020-02-20","80","0"
"2020-02-21","82","0"
"2020-02-24","85","0"
"2020-02-25","87","0"
"2020-02-26","88","0"
"2020-02-27","90","0"
"2020-02-28","92","0"
"2020-03-01","93","0"
"2020-03-02","99","0"
"2020-03-04","102","0"
"2020-03-05","105","0"
"2020-03-07","111","0"
"2020-03-08","112","0"
"2020-03-10","113","0"
"2020-03-12","115","0"
"2020-03-13","117","0"
"2020-03-14","118","0"
"2020-03-15","119","0"
"2020-03-16","122","0"
"2020-03-17","124","0"
"2020-03-18","126","0"
"2020-03-20","127","0"
"2020-03-22","129","0"
"2020-03-23","131","0"
"2020-03-24","132","0"
"2020-03-25","135","0"
"2020-03-26","137","0"
"2020-03-27","139","0"
"2020-03-28","141","0"
"2020-03-29","142","0"
"2020-03-31","145","0"
"2020-04-02","149","0"
"2020-04-03","150","0"
"2020-04-04","155","0"
"2020-04-05","156","0"
"2020-04-06","158","0"
"2020-04-07","161","0"
"2020-04-08","162","0"
"2020-04-11","164","0"
"2020-04-12","165","0"
"2020-04-13","166","0"
"2020-04-14","170","0"
"2020-04-16","172","0"
"2020-04-17","173","0"
"2020-04-18","177","0"
"2020-04-19","181","0"
"2020-04-20","182","0"
"2020-04-21","187","0"
"2020-04-22","189","0"
"2020-04-24","190","0"
"2020-04-25","191","0"
"2020-04-26","193","0"
"2020-04-27","194","0"
"2020-04-28","196","0"
"2020-04-30","197","0"
"2020-05-02","200","0"
"2020-05-03","204","0"
"2020-05-04","205","0"
"2020-05-05","207","0"
"2020-05-06","209","0"
"2020-05-07","210","0"
"2020-05-08","212","0"
"2020-05-10","215","0"
"2020-05-11","217","0"
"2020-05-14","222","0"
"2020-05-15","226","0"
"2020-05-16","230","0"
"2020-05-18","233","0"
"2020-05-19","235","0"
"2020-05-21","236","0"
"2020-05-22","239","0"
"2020-05-23","240","0"
"2020-05-24","244","0"
"2020-05-26","247","0"
"2020-05-27","249","0"
"2020-05-28","250","0"
"2020-05-29","252","0"
"2020-05-30","254","0"
"2020-06-01","255","0"
"2020-06-05","258","0"
"2020-06-06","259","0"
"2020-06-07","260","0"
"2020-06-08","262","0"
"2020-06-09","264","0"
"2020-06-10","265","0"
"2020-06-11","266","0"
"2020-06-12","267","0"
"2020-06-14","270","0"
"2020-06-15","275","0"
"2020-06-17","277","0"
"2020-06-18","280","0"
"2020-06-20","281","0"
"2020-06-21","283","0"
"2020-06-22","286","0"
"2020-06-23","289","0"
"2020-06-24","290","0"
"2020-06-25","292","0"
"2020-06-26","298","0"
"2020-06-27","299","0"
"2020-06-28","301","0"
"2020-06-29","303","0"
"2020-06-30","307","0"
"2020-07-01","310","0"
"2020-07-02","313","0"
"2020-07-03","316","0"
"2020-07-04","318","0"
"2020-07-05","320","0"
"2020-07-06","324","0"
"2020-07-07","327","0"
"2020-07-10","329","0"
"2020-07-12","330","0"
"2020-07-13","332","0"
"2020-07-14","337","0"
"2020-07-15","342","0"
"2020-07-16","343","0"
"2020-07-17","345","0"
"2020-07-18","347","0"
"2020-07-19","350","0"
"2020-07-20","352","0"
"2020-07-21","353","0"
"2020-07-22","354","0"
"2020-07-23","356","0"
"2020-07-24","357","0"
"2020-07-25","358","0"
"2020-07-26","361","0"
"2020-07-27","362","0"
"2020-07-28","364","0"
"2020-07-30","366","0"
"2020-08-02","368","0"
"2020-08-03","369","0"
"2020-08-04","370","0"
"2020-08-06","372","0"
"2020-08-07","374","0"
"2020-08-08","375","0"
"2020-08-09","377","0"
"2020-08-11","378","0"
"2020-08-12","380","0"
"2020-08-14","381","0"
"2020-08-15","384","0"
"2020-08-16","385","0"
"2020-08-18","386","0"
"2020-08-19","387","0"
"2020-08-20","392","0"
"2020-08-21","394","0"
"2020-08-22","399","0"
"2020-08-23","402","0"
"2020-08-24","404","0"
"2020-08-26","405","0"
"2020-08-27","407","0"
"2020-08-29","410","0"
"2020-08-31","411","0"
"2020-09-01","415","0"
"2020-09-02","417","0"
"2020-09-03","418","0"
"2020-09-04","420","0"
"2020-09-05","421","0"
"2020-09-06","425","0"
"2020-09-07","428","0"
"2020-09-08","430","0"
"2020-09-09","433","0"
"2020-09-10","434","0"
"2020-09-11","436.4","1"
"2020-09-12","438.62","1"
"2020-09-13","440.84","1"
"2020-09-14","443.06","1"
